,Year,Week,H/A,Opp,Result,Score,QB Rat,Cmp,Pa-Att,Pa-Pct,Pa-Yds,Pa-Y/A,Pa-TD,Int,Sacks,Ru-Att,Ru-Yds,Ru-Y/A,Ru-Lg,Ru-TD,Fum,FumL
11,2016,13,Away,CIN,L,14-32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2016,14,Away,PHI,L,27-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2016,15,Away,BAL,L,26-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2016,16,Home,NYG,W,19-24,118.8,1,1,100,16,16,0,0,0,0,0,0,0,0,0,0
15,2016,17,Away,PHI,W,13-27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2017,1,Away,MIN,L,19-29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2017,2,Away,NO,L,36-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2017,3,Away,CAR,W,34-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2017,4,Away,MIA,W,20-0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2017,6,Away,NO,W,38-52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2017,7,Away,GB,W,26-17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2017,8,Away,NO,W,12-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2017,9,Away,NO,W,10-30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2017,10,Away,BUF,W,47-10,0,0,0,0,0,0,0,0,0,3,-2,-0.7,0,0,0,0
9,2017,11,Away,NO,W,31-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2017,12,Away,LAR,L,20-26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2017,13,Away,NO,W,21-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2017,14,Away,ATL,L,17-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2017,15,Away,NO,W,19-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2017,16,Away,NO,W,13-23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2017,17,Away,TB,L,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2018,1,Away,GB,L,23-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2018,2,Away,CHI,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2018,3,Away,ARI,W,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2018,4,Home,TB,W,10-48,0,0,0,0,0,0,0,0,0,2,-2,-1,-1,0,0,0
4,2018,6,Away,MIA,L,28-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2018,7,Home,NE,L,38-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018,8,Away,CHI,W,10-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2018,9,Away,BUF,W,41-9,0,0,0,0,0,0,0,0,0,3,-3,-1,-1,0,0,0
8,2018,10,Away,CHI,W,22-34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2018,11,Away,CHI,W,20-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2018,12,Away,DET,W,23-16,106.8,27,37,73,230,6.2,2,0,4,4,4,1,2,0,0,0
11,2018,13,Away,NYG,L,27-30,75.3,26,39,66.7,285,7.3,1,2,5,4,4,1,4,0,4,0
12,2018,14,Away,CHI,W,6-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2018,15,Away,CHI,W,17-24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2018,16,Away,SF,W,14-9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2018,17,Away,MIN,W,24-10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,2019,1,Home,GB,L,10-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2019,2,Away,DEN,W,16-14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2019,3,Away,WAS,W,31-15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2019,4,Home,MIN,W,6-16,101.4,22,30,73.3,195,6.5,1,0,1,5,4,0.8,4,0,0,0
4,2019,5,Away,OAK,L,21-24,89.7,22,30,73.3,231,7.7,2,2,4,1,2,2,2,0,0,0
5,2019,7,Away,CHI,L,36-25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,2019,8,Away,CHI,L,17-16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2019,9,Away,PHI,L,14-22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2019,10,Away,CHI,W,13-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2019,11,Away,LAR,L,7-17,39.6,1,4,25,9,2.3,0,0,2,0,0,0,0,0,0,0
10,2019,12,Away,CHI,W,14-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2019,13,Home,CHI,W,24-20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2019,14,Away,CHI,W,24-31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,2019,15,Away,GB,L,13-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,2019,16,Away,CHI,L,26-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2019,17,Away,MIN,W,21-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
